index,ticket_id,created_date,customer,region,channel,subject,severity,time_to_resolve_hours,agent_touches,reopened,sev_weight,category
0,IDC-42299,2026-04-16T00:00:00.000Z,Rivet Play,CA-ON,Email,"Onboarding new market, what config changes are needed?",S3 - Medium,23.2,6,No,2,Integration & Config
1,IDC-43422,2026-04-13T00:00:00.000Z,Foundry Gaming,US-NJ,Slack Connect,Set up user access for two new team members,S4 - Low,58.4,1,No,1,Integration & Config
2,IDC-44651,2026-02-24T00:00:00.000Z,Pinnacle Play,US-CO,Email,Can the check flag an underage applicant?,S3 - Medium,9.4,6,No,2,Compliance Decision Friction
3,IDC-44301,2026-02-15T00:00:00.000Z,Selkirk Interactive,US-AZ,Portal,Address normalization rejecting apartment formats,S4 - Low,52.5,3,No,1,User Verification Friction
4,IDC-44743,2026-07-22T00:00:00.000Z,Pinnacle Play,US-CO,Email,Date of birth validation rejecting valid 1999 dates,S3 - Medium,20.7,4,No,2,User Verification Friction
5,IDC-44428,2026-03-12T00:00:00.000Z,Ashgrove Bet,UK,Portal,Inaccurate PEP alert on an obviously low-risk player,S4 - Low,14.8,3,No,1,Compliance Decision Friction
6,IDC-44509,2026-06-18T00:00:00.000Z,Ashgrove Bet,UK,Phone,Token creation request returning 401,S4 - Low,45.3,3,No,1,Integration & Config
7,IDC-43970,2026-05-12T00:00:00.000Z,Marigold Gaming,US-MI,Email,apiKey rejected when sent in the request body,S3 - Medium,31.6,6,No,2,Integration & Config
8,IDC-43244,2026-04-04T00:00:00.000Z,Foundry Gaming,US-NJ,Email,"CfA failing, what does phone_not_baselined mean?",S3 - Medium,9.1,2,No,2,Platform Reliability Friction
9,IDC-44850,2026-04-27T00:00:00.000Z,Pinnacle Play,US-CO,Slack Connect,Invoice query forwarded from finance,S4 - Low,60.7,2,No,1,Account Admin
10,IDC-42384,2026-06-06T00:00:00.000Z,Rivet Play,CA-ON,Portal,Webhook signature verification failing in staging,S3 - Medium,19.5,6,No,2,Platform Reliability Friction
11,IDC-42236,2026-04-14T00:00:00.000Z,Rivet Play,CA-ON,Email,Please adjust our scheduled report frequency,S4 - Low,33.8,1,No,1,Account Admin
12,IDC-44343,2026-07-07T00:00:00.000Z,Selkirk Interactive,US-AZ,Portal,Inaccurate PEP alert on an obviously low-risk player,S3 - Medium,39.7,6,No,2,Compliance Decision Friction
13,IDC-42689,2026-07-24T00:00:00.000Z,Rivet Play,CA-ON,Email,Selfie step blank on Android Chrome,S3 - Medium,9.7,3,No,2,User Verification Friction
14,IDC-44519,2026-05-24T00:00:00.000Z,Ashgrove Bet,UK,Email,Date of birth validation rejecting valid 1999 dates,S4 - Low,49,3,No,1,User Verification Friction
15,IDC-43843,2026-03-02T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,Can the check flag an underage applicant?,S3 - Medium,13.8,5,No,2,Compliance Decision Friction
16,IDC-42861,2026-05-15T00:00:00.000Z,Rivet Play,CA-ON,Email,"PO Box treated as invalid, several player complaints",S3 - Medium,33.7,3,No,2,User Verification Friction
17,IDC-44230,2026-02-19T00:00:00.000Z,Selkirk Interactive,US-AZ,Portal,Player says they were verified twice and charged twice,S3 - Medium,24.8,6,No,2,User Verification Friction
18,IDC-42692,2026-05-31T00:00:00.000Z,Rivet Play,CA-ON,Portal,Invoice query forwarded from finance,S4 - Low,36.9,2,No,1,Account Admin
19,IDC-43063,2026-03-07T00:00:00.000Z,Tidewater Casino,US-NJ,Portal,Step-up auth triggering for returning players,S3 - Medium,20.7,4,No,2,User Verification Friction
20,IDC-42391,2026-02-22T00:00:00.000Z,Rivet Play,CA-ON,Email,Set up user access for two new team members,S3 - Medium,35.9,5,No,2,Integration & Config
21,IDC-44375,2026-07-02T00:00:00.000Z,Ashgrove Bet,UK,Slack Connect,Question about the data retention period,S4 - Low,34.6,3,No,1,Account Admin
22,IDC-42503,2026-02-02T00:00:00.000Z,Rivet Play,CA-ON,Email,Set up user access for two new team members,S4 - Low,46.3,3,No,1,Integration & Config
23,IDC-42738,2026-04-06T00:00:00.000Z,Rivet Play,CA-ON,Email,"Image capture loops, QR code keeps reloading on handoff",S4 - Low,32.4,1,No,1,User Verification Friction
24,IDC-42488,2026-02-26T00:00:00.000Z,Rivet Play,CA-ON,Portal,Invoice query forwarded from finance,S4 - Low,65.3,1,No,1,Account Admin
25,IDC-42947,2026-04-28T00:00:00.000Z,Tidewater Casino,US-NJ,Email,Date of birth validation rejecting valid 1999 dates,S3 - Medium,26.8,2,No,2,User Verification Friction
26,IDC-43284,2026-07-19T00:00:00.000Z,Foundry Gaming,US-NJ,Portal,Verification failing with provider timeout (504),S2 - High,20.6,6,No,3,Platform Reliability Friction
27,IDC-44035,2026-04-25T00:00:00.000Z,Marigold Gaming,US-MI,Email,Address normalization rejecting apartment formats,S2 - High,21.9,7,No,3,User Verification Friction
28,IDC-43728,2026-07-25T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,Can the check flag an underage applicant?,S3 - Medium,15.3,4,No,2,Compliance Decision Friction
29,IDC-43972,2026-03-04T00:00:00.000Z,Marigold Gaming,US-MI,Email,Invoice query forwarded from finance,S4 - Low,43.1,3,No,1,Account Admin
30,IDC-42891,2026-06-26T00:00:00.000Z,Tidewater Casino,US-NJ,Slack Connect,Manual review queue backing up this week,S3 - Medium,34.8,2,No,2,Operational Backlog Friction
31,IDC-42211,2026-07-17T00:00:00.000Z,Rivet Play,CA-ON,Email,"Base URL misconfigured, double https in the endpoint",S3 - Medium,13,5,No,2,Integration & Config
32,IDC-42560,2026-05-04T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,"PO Box treated as invalid, several player complaints",S4 - Low,52.3,2,No,1,User Verification Friction
33,IDC-42666,2026-07-09T00:00:00.000Z,Rivet Play,CA-ON,Email,Watchlist screening flagged the wrong person,S2 - High,12.2,4,No,3,Compliance Decision Friction
34,IDC-43580,2026-07-08T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,Can we suppress PEP alerts for our US-only brand?,S1 - Critical,11.9,7,No,4,Compliance Decision Friction
35,IDC-44022,2026-03-12T00:00:00.000Z,Marigold Gaming,US-MI,Email,Please add our new brand to the account,S4 - Low,14.1,3,No,1,Integration & Config
36,IDC-44202,2026-03-05T00:00:00.000Z,Selkirk Interactive,US-AZ,Email,Upload succeeds but result says image invalid,S2 - High,25.4,5,No,3,User Verification Friction
37,IDC-43988,2026-08-01T00:00:00.000Z,Marigold Gaming,US-MI,Portal,Callback not received after verification completes,S3 - Medium,31.6,5,No,2,Platform Reliability Friction
38,IDC-44834,2026-03-15T00:00:00.000Z,Pinnacle Play,US-CO,Portal,Inaccurate PEP alert on an obviously low-risk player,S1 - Critical,4.5,7,Yes,4,Compliance Decision Friction
39,IDC-43294,2026-02-17T00:00:00.000Z,Foundry Gaming,US-NJ,Email,apiKey rejected when sent in the request body,S3 - Medium,21.7,2,No,2,Integration & Config
40,IDC-43514,2026-04-06T00:00:00.000Z,Foundry Gaming,US-NJ,Portal,"CfA failing, what does phone_not_baselined mean?",S3 - Medium,31.1,4,No,2,Platform Reliability Friction
41,IDC-43706,2026-02-13T00:00:00.000Z,Cobalt Sportsbook,US-PA,Phone,Duplicate verification sessions created for one user,S3 - Medium,16.7,6,No,2,User Verification Friction
42,IDC-43243,2026-06-04T00:00:00.000Z,Foundry Gaming,US-NJ,Email,Inaccurate PEP alert on an obviously low-risk player,S2 - High,20,7,No,3,Compliance Decision Friction
43,IDC-43161,2026-03-02T00:00:00.000Z,Tidewater Casino,US-NJ,Email,"Multiple users failing data verification, provider looks slow",S1 - Critical,6.6,10,No,4,Platform Reliability Friction
44,IDC-43362,2026-07-04T00:00:00.000Z,Foundry Gaming,US-NJ,Slack Connect,"OTP channel timeout error, must be integer 15-900",S2 - High,18.8,8,No,3,User Verification Friction
45,IDC-42550,2026-05-17T00:00:00.000Z,Rivet Play,CA-ON,Portal,Set up user access for two new team members,S3 - Medium,41.1,4,No,2,Integration & Config
46,IDC-42564,2026-02-07T00:00:00.000Z,Rivet Play,CA-ON,Portal,Can the check flag an underage applicant?,S4 - Low,51.5,1,No,1,Compliance Decision Friction
47,IDC-43996,2026-03-23T00:00:00.000Z,Marigold Gaming,US-MI,Portal,"Review decision pending for 48h+, players waiting",S3 - Medium,34.4,5,No,2,Operational Backlog Friction
48,IDC-43274,2026-07-28T00:00:00.000Z,Foundry Gaming,US-NJ,Email,"Base URL misconfigured, double https in the endpoint",S3 - Medium,35.7,5,No,2,Integration & Config
49,IDC-44071,2026-04-21T00:00:00.000Z,Marigold Gaming,US-MI,Portal,Please adjust our scheduled report frequency,S3 - Medium,9.7,4,No,2,Account Admin
50,IDC-43206,2026-04-26T00:00:00.000Z,Tidewater Casino,US-NJ,Email,"PO Box treated as invalid, several player complaints",S3 - Medium,35.6,3,No,2,User Verification Friction
51,IDC-42458,2026-07-26T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,IDPV outcome differs across document types,S3 - Medium,12.2,2,Yes,2,Compliance Decision Friction
52,IDC-42663,2026-05-09T00:00:00.000Z,Rivet Play,CA-ON,Phone,SSN last-4 not matching for valid users,S4 - Low,43.3,1,No,1,User Verification Friction
53,IDC-44138,2026-05-09T00:00:00.000Z,Selkirk Interactive,US-AZ,Email,apiKey rejected when sent in the request body,S2 - High,8.1,4,No,3,Integration & Config
54,IDC-44034,2026-06-27T00:00:00.000Z,Marigold Gaming,US-MI,Portal,Request: export of last month's verification volumes,S4 - Low,28.8,1,No,1,Account Admin
55,IDC-42572,2026-05-27T00:00:00.000Z,Rivet Play,CA-ON,Portal,How do we clear stuck review cases?,S2 - High,15.5,5,Yes,3,Operational Backlog Friction
56,IDC-44723,2026-06-30T00:00:00.000Z,Pinnacle Play,US-CO,Portal,Player says they were verified twice and charged twice,S4 - Low,54.4,3,No,1,User Verification Friction
57,IDC-42887,2026-03-05T00:00:00.000Z,Tidewater Casino,US-NJ,Email,How do we clear stuck review cases?,S3 - Medium,13.7,6,No,2,Operational Backlog Friction
58,IDC-43762,2026-06-12T00:00:00.000Z,Cobalt Sportsbook,US-PA,Portal,Full 9-digit SSN check failing after config change,S4 - Low,29.6,1,No,1,User Verification Friction
59,IDC-43712,2026-07-27T00:00:00.000Z,Cobalt Sportsbook,US-PA,Slack Connect,"Onboarding new market, what config changes are needed?",S4 - Low,16.3,2,No,1,Integration & Config
60,IDC-44480,2026-05-10T00:00:00.000Z,Ashgrove Bet,UK,Portal,Player says they were verified twice and charged twice,S4 - Low,65.5,1,No,1,User Verification Friction
61,IDC-43011,2026-07-28T00:00:00.000Z,Tidewater Casino,US-NJ,Email,"OTP channel timeout error, must be integer 15-900",S2 - High,11.1,6,No,3,User Verification Friction
62,IDC-42578,2026-02-08T00:00:00.000Z,Rivet Play,CA-ON,Phone,Invoice query forwarded from finance,S3 - Medium,24.8,3,No,2,Account Admin
63,IDC-44168,2026-04-06T00:00:00.000Z,Selkirk Interactive,US-AZ,Email,Manual review queue backing up this week,S3 - Medium,38.8,5,No,2,Operational Backlog Friction
64,IDC-42256,2026-06-14T00:00:00.000Z,Rivet Play,CA-ON,Email,"Onboarding new market, what config changes are needed?",S4 - Low,49.1,3,No,1,Integration & Config
65,IDC-42510,2026-04-15T00:00:00.000Z,Rivet Play,CA-ON,Phone,Request: export of last month's verification volumes,S4 - Low,27.3,3,No,1,Account Admin
66,IDC-44454,2026-05-27T00:00:00.000Z,Ashgrove Bet,UK,Portal,"Review decision pending for 48h+, players waiting",S2 - High,23.1,6,No,3,Operational Backlog Friction
67,IDC-43468,2026-02-15T00:00:00.000Z,Foundry Gaming,US-NJ,Slack Connect,Player says they were verified twice and charged twice,S3 - Medium,13.4,2,No,2,User Verification Friction
68,IDC-44762,2026-04-29T00:00:00.000Z,Pinnacle Play,US-CO,Email,Player passed data check but failed secondary auth,S3 - Medium,37,2,No,2,User Verification Friction
69,IDC-44811,2026-04-01T00:00:00.000Z,Pinnacle Play,US-CO,Slack Connect,Manual review queue backing up this week,S3 - Medium,42.6,5,No,2,Operational Backlog Friction
70,IDC-43360,2026-07-31T00:00:00.000Z,Foundry Gaming,US-NJ,Portal,Can we suppress PEP alerts for our US-only brand?,S3 - Medium,29.4,6,No,2,Compliance Decision Friction
71,IDC-42508,2026-06-13T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,Webhook signature verification failing in staging,S3 - Medium,35.9,3,No,2,Platform Reliability Friction
72,IDC-44460,2026-03-18T00:00:00.000Z,Ashgrove Bet,UK,Slack Connect,IP allowlisting request for a new environment,S3 - Medium,38.1,2,No,2,Integration & Config
73,IDC-44361,2026-07-11T00:00:00.000Z,Selkirk Interactive,US-AZ,Email,Please add our new brand to the account,S3 - Medium,11.3,5,No,2,Integration & Config
74,IDC-42918,2026-07-05T00:00:00.000Z,Tidewater Casino,US-NJ,Slack Connect,Inaccurate PEP alert on an obviously low-risk player,S2 - High,8.2,4,No,3,Compliance Decision Friction
75,IDC-42294,2026-02-20T00:00:00.000Z,Rivet Play,CA-ON,Portal,Callback not received after verification completes,S3 - Medium,25.6,3,No,2,Platform Reliability Friction
76,IDC-44097,2026-07-06T00:00:00.000Z,Marigold Gaming,US-MI,Portal,Requesting SOC 2 report for our compliance team,S4 - Low,42.7,2,Yes,1,Account Admin
77,IDC-43949,2026-04-17T00:00:00.000Z,Marigold Gaming,US-MI,Email,Full 9-digit SSN check failing after config change,S3 - Medium,31,5,No,2,User Verification Friction
78,IDC-43539,2026-04-20T00:00:00.000Z,Foundry Gaming,US-NJ,Email,Watchlist screening flagged the wrong person,S3 - Medium,14.7,5,No,2,Compliance Decision Friction
79,IDC-42777,2026-07-04T00:00:00.000Z,Rivet Play,CA-ON,Email,"OTP channel timeout error, must be integer 15-900",S2 - High,20.4,4,No,3,User Verification Friction
80,IDC-42073,2026-06-15T00:00:00.000Z,Rivet Play,CA-ON,Portal,Watchlist screening flagged the wrong person,S3 - Medium,16.4,4,No,2,Compliance Decision Friction
81,IDC-44676,2026-07-19T00:00:00.000Z,Pinnacle Play,US-CO,Email,Address normalization rejecting apartment formats,S3 - Medium,40.6,4,No,2,User Verification Friction
82,IDC-42576,2026-03-23T00:00:00.000Z,Rivet Play,CA-ON,Portal,Invoice query forwarded from finance,S3 - Medium,28.4,4,No,2,Account Admin
83,IDC-44094,2026-06-05T00:00:00.000Z,Marigold Gaming,US-MI,Portal,Requesting SOC 2 report for our compliance team,S4 - Low,44.7,3,No,1,Account Admin
84,IDC-42545,2026-03-31T00:00:00.000Z,Rivet Play,CA-ON,Email,Please add our new brand to the account,S4 - Low,35.2,2,No,1,Integration & Config
85,IDC-44577,2026-05-04T00:00:00.000Z,Ashgrove Bet,UK,Slack Connect,"Multiple users failing data verification, provider looks slow",S1 - Critical,9.8,9,No,4,Platform Reliability Friction
86,IDC-42273,2026-05-16T00:00:00.000Z,Rivet Play,CA-ON,Email,Request: export of last month's verification volumes,S4 - Low,54.7,1,No,1,Account Admin
87,IDC-42374,2026-07-08T00:00:00.000Z,Rivet Play,CA-ON,Portal,"Sanctions hit looks like a false positive, please review",S2 - High,10.5,6,No,3,Compliance Decision Friction
88,IDC-44772,2026-03-02T00:00:00.000Z,Pinnacle Play,US-CO,Phone,Requesting SOC 2 report for our compliance team,S4 - Low,33.5,2,No,1,Account Admin
89,IDC-43544,2026-02-19T00:00:00.000Z,Foundry Gaming,US-NJ,Slack Connect,Can the check flag an underage applicant?,S3 - Medium,20.5,4,No,2,Compliance Decision Friction
90,IDC-43965,2026-04-12T00:00:00.000Z,Marigold Gaming,US-MI,Portal,Too many users routed to step-up this week,S2 - High,7.1,6,No,3,User Verification Friction
91,IDC-44770,2026-04-27T00:00:00.000Z,Pinnacle Play,US-CO,Slack Connect,ID capture screen freezes on mobile for several users,S3 - Medium,28.2,3,No,2,User Verification Friction
92,IDC-42647,2026-06-10T00:00:00.000Z,Rivet Play,CA-ON,Email,Manual review queue backing up this week,S3 - Medium,36.1,5,No,2,Operational Backlog Friction
93,IDC-44275,2026-05-11T00:00:00.000Z,Selkirk Interactive,US-AZ,Portal,"Review decision pending for 48h+, players waiting",S3 - Medium,24.9,5,No,2,Operational Backlog Friction
94,IDC-43149,2026-04-18T00:00:00.000Z,Tidewater Casino,US-NJ,Portal,"Sanctions hit looks like a false positive, please review",S4 - Low,38.9,2,No,1,Compliance Decision Friction
95,IDC-43138,2026-06-19T00:00:00.000Z,Tidewater Casino,US-NJ,Email,Step-up auth triggering for returning players,S2 - High,22.5,6,No,3,User Verification Friction
96,IDC-42722,2026-03-31T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,Please add our new brand to the account,S4 - Low,20.9,2,No,1,Integration & Config
97,IDC-42418,2026-05-31T00:00:00.000Z,Rivet Play,CA-ON,Email,Requesting SOC 2 report for our compliance team,S3 - Medium,42.7,5,No,2,Account Admin
98,IDC-42289,2026-05-04T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,Too many users routed to step-up this week,S2 - High,6.4,4,No,3,User Verification Friction
99,IDC-44189,2026-03-16T00:00:00.000Z,Selkirk Interactive,US-AZ,Portal,"Sanctions hit looks like a false positive, please review",S3 - Medium,16.8,2,No,2,Compliance Decision Friction
100,IDC-44553,2026-04-01T00:00:00.000Z,Ashgrove Bet,UK,Email,SSN last-4 not matching for valid users,S3 - Medium,21.9,4,No,2,User Verification Friction
101,IDC-43429,2026-04-10T00:00:00.000Z,Foundry Gaming,US-NJ,Email,"OTP channel timeout error, must be integer 15-900",S2 - High,9,5,No,3,User Verification Friction
102,IDC-44783,2026-07-20T00:00:00.000Z,Pinnacle Play,US-CO,Email,How do we clear stuck review cases?,S2 - High,11.6,7,No,3,Operational Backlog Friction
103,IDC-44654,2026-02-04T00:00:00.000Z,Pinnacle Play,US-CO,Email,Partial match returns no data on first attempt,S2 - High,5.4,6,Yes,3,User Verification Friction
104,IDC-43738,2026-04-05T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,Callback not received after verification completes,S3 - Medium,25.2,4,No,2,Platform Reliability Friction
105,IDC-44305,2026-05-05T00:00:00.000Z,Selkirk Interactive,US-AZ,Email,Step-up auth triggering for returning players,S2 - High,25.7,9,No,3,User Verification Friction
106,IDC-44605,2026-05-20T00:00:00.000Z,Ashgrove Bet,UK,Portal,IDPV outcome differs across document types,S4 - Low,52.5,2,No,1,Compliance Decision Friction
107,IDC-42366,2026-02-24T00:00:00.000Z,Rivet Play,CA-ON,Portal,Player says they were verified twice and charged twice,S2 - High,9.9,7,No,3,User Verification Friction
108,IDC-42416,2026-02-27T00:00:00.000Z,Rivet Play,CA-ON,Email,Passport read failing for a batch of users,S2 - High,12.1,6,No,3,User Verification Friction
109,IDC-42005,2026-03-07T00:00:00.000Z,Rivet Play,CA-ON,Portal,Webhook signature verification failing in staging,S2 - High,24.4,4,No,3,Platform Reliability Friction
110,IDC-44063,2026-07-10T00:00:00.000Z,Marigold Gaming,US-MI,Email,Duplicate verification sessions created for one user,S3 - Medium,22.5,4,No,2,User Verification Friction
111,IDC-44667,2026-05-16T00:00:00.000Z,Pinnacle Play,US-CO,Slack Connect,Passport read failing for a batch of users,S3 - Medium,10.4,4,No,2,User Verification Friction
112,IDC-44777,2026-02-12T00:00:00.000Z,Pinnacle Play,US-CO,Portal,Step-up auth triggering for returning players,S2 - High,9.4,8,No,3,User Verification Friction
113,IDC-43561,2026-05-01T00:00:00.000Z,Foundry Gaming,US-NJ,Slack Connect,Step-up auth triggering for returning players,S2 - High,9.3,7,No,3,User Verification Friction
114,IDC-43434,2026-05-19T00:00:00.000Z,Foundry Gaming,US-NJ,Email,ID capture screen freezes on mobile for several users,S3 - Medium,10.6,2,Yes,2,User Verification Friction
115,IDC-42233,2026-06-16T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,Partial match returns no data on first attempt,S3 - Medium,12.5,6,No,2,User Verification Friction
116,IDC-42773,2026-07-21T00:00:00.000Z,Rivet Play,CA-ON,Email,Can the check flag an underage applicant?,S4 - Low,63.1,3,Yes,1,Compliance Decision Friction
117,IDC-42353,2026-06-13T00:00:00.000Z,Rivet Play,CA-ON,Portal,IP allowlisting request for a new environment,S1 - Critical,13.7,11,No,4,Integration & Config
118,IDC-44859,2026-05-09T00:00:00.000Z,Pinnacle Play,US-CO,Portal,Step-up auth triggering for returning players,S3 - Medium,31.5,4,No,2,User Verification Friction
119,IDC-43356,2026-07-23T00:00:00.000Z,Foundry Gaming,US-NJ,Portal,Step-up auth triggering for returning players,S2 - High,19.6,8,No,3,User Verification Friction
120,IDC-43542,2026-05-06T00:00:00.000Z,Foundry Gaming,US-NJ,Portal,Zip code mismatch on addresses we believe are valid,S4 - Low,29.5,2,Yes,1,User Verification Friction
121,IDC-44780,2026-04-08T00:00:00.000Z,Pinnacle Play,US-CO,Email,Date of birth validation rejecting valid 1999 dates,S3 - Medium,22.7,5,No,2,User Verification Friction
122,IDC-44559,2026-03-18T00:00:00.000Z,Ashgrove Bet,UK,Portal,IP allowlisting request for a new environment,S3 - Medium,30.9,6,No,2,Integration & Config
123,IDC-44695,2026-07-08T00:00:00.000Z,Pinnacle Play,US-CO,Phone,"Sanctions hit looks like a false positive, please review",S3 - Medium,36.8,5,No,2,Compliance Decision Friction
124,IDC-42120,2026-02-08T00:00:00.000Z,Rivet Play,CA-ON,Portal,"CfA failing, what does phone_not_baselined mean?",S3 - Medium,41.8,3,No,2,Platform Reliability Friction
125,IDC-42717,2026-04-26T00:00:00.000Z,Rivet Play,CA-ON,Email,apiKey rejected when sent in the request body,S2 - High,25.3,6,No,3,Integration & Config
126,IDC-42716,2026-07-28T00:00:00.000Z,Rivet Play,CA-ON,Email,Set up user access for two new team members,S3 - Medium,18.9,6,No,2,Integration & Config
127,IDC-44282,2026-04-01T00:00:00.000Z,Selkirk Interactive,US-AZ,Slack Connect,Requesting SOC 2 report for our compliance team,S4 - Low,62.7,3,No,1,Account Admin
128,IDC-43814,2026-07-29T00:00:00.000Z,Cobalt Sportsbook,US-PA,Email,SSN last-4 not matching for valid users,S3 - Medium,29.5,6,No,2,User Verification Friction
129,IDC-44774,2026-06-01T00:00:00.000Z,Pinnacle Play,US-CO,Portal,Can we suppress PEP alerts for our US-only brand?,S3 - Medium,16.8,3,No,2,Compliance Decision Friction
130,IDC-43792,2026-06-11T00:00:00.000Z,Cobalt Sportsbook,US-PA,Slack Connect,Token creation request returning 401,S2 - High,23.5,6,No,3,Integration & Config
131,IDC-44530,2026-07-04T00:00:00.000Z,Ashgrove Bet,UK,Email,Player says they were verified twice and charged twice,S3 - Medium,31,5,No,2,User Verification Friction
132,IDC-44500,2026-07-25T00:00:00.000Z,Ashgrove Bet,UK,Slack Connect,"Review decision pending for 48h+, players waiting",S4 - Low,68.8,2,Yes,1,Operational Backlog Friction
133,IDC-44584,2026-02-14T00:00:00.000Z,Ashgrove Bet,UK,Email,Inaccurate PEP alert on an obviously low-risk player,S3 - Medium,41.5,4,No,2,Compliance Decision Friction
134,IDC-42492,2026-03-26T00:00:00.000Z,Rivet Play,CA-ON,Email,Set up user access for two new team members,S3 - Medium,27.6,4,No,2,Integration & Config
135,IDC-43308,2026-07-30T00:00:00.000Z,Foundry Gaming,US-NJ,Portal,Verification failing with provider timeout (504),S3 - Medium,31.2,4,Yes,2,Platform Reliability Friction
136,IDC-43867,2026-07-09T00:00:00.000Z,Marigold Gaming,US-MI,Email,Too many users routed to step-up this week,S2 - High,23.3,6,No,3,User Verification Friction
137,IDC-42275,2026-07-25T00:00:00.000Z,Rivet Play,CA-ON,Slack Connect,Question about the data retention period,S4 - Low,22.9,2,Yes,1,Account Admin
138,IDC-44694,2026-07-29T00:00:00.000Z,Pinnacle Play,US-CO,Slack Connect,Too many users routed to step-up this week,S3 - Medium,23.5,3,No,2,User Verification Friction
139,IDC-42821,2026-06-28T00:00:00.000Z,Rivet Play,CA-ON,Email,Invoice query forwarded from finance,S4 - Low,55.7,1,Yes,1,Account Admin
